Baby,Time,Start Side,Left duration,Right duration,Total Duration,Note
Bab1,"8/11/18, 8:28 PM",Left,7,6,0,
Bab1,"8/11/18, 9:35 PM",Right,7,10,0,
Bab1,"8/12/18, 2:03 AM",Left,9,4,0,
Bab1,"8/12/18, 4:37 AM",Right,9,6,0,
Bab1,"8/12/18, 6:57 AM",Left,11,8,0,
Bab1,"8/12/18, 8:48 AM",Right,5,9,0,
Bab1,"8/12/18, 10:05 AM",Left,8,7,0,
Bab1,"8/12/18, 12:19 PM",Right,7,8,0,
Bab1,"8/12/18, 2:53 PM",Left,9,9,0,
Bab1,"8/12/18, 5:41 PM",Right,11,8,0,
Bab1,"8/12/18, 7:56 PM",Left,12,12,0,
Bab1,"8/12/18, 9:40 PM",Right,7,10,0,
Bab1,"8/13/18, 2:05 AM",Left,8,5,0,
Bab1,"8/13/18, 5:01 AM",Right,0,6,0,
Bab1,"8/13/18, 6:01 AM",Left,7,0,0,
Bab1,"8/13/18, 7:58 AM",Right,9,12,0,
Bab1,"8/13/18, 9:33 AM",Left,7,0,0,
Bab1,"8/13/18, 11:20 AM",Right,3,10,0,
Bab1,"8/13/18, 1:30 PM",Left,9,8,0,
Bab1,"8/13/18, 3:21 PM",Right,4,6,0,
Bab1,"8/13/18, 5:32 PM",Left,9,12,0,
Bab1,"8/13/18, 7:48 PM",Right,6,7,0,
Bab1,"8/13/18, 9:06 PM",Left,6,0,0,
Bab1,"8/14/18, 12:16 AM",Right,7,10,0,
Bab1,"8/14/18, 3:11 AM",Left,14,6,0,
Bab1,"8/14/18, 6:01 AM",Right,0,13,0,
Bab1,"8/14/18, 7:52 AM",Left,9,5,0,
Bab1,"8/14/18, 9:13 AM",Right,3,5,0,
Bab1,"8/14/18, 10:49 AM",Left,8,12,0,
Bab1,"8/14/18, 1:27 PM",Right,9,9,0,
Bab1,"8/14/18, 3:49 PM",Left,10,7,0,
Bab1,"8/14/18, 6:00 PM",Right,11,14,0,
Bab1,"8/14/18, 8:18 PM",Left,15,6,0,
Bab1,"8/14/18, 9:55 PM",Right,9,6,0,
